# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
   61   76 3.56215E+01
   61   77 8.18955E+01
   61   78 7.16707E+02
   61   79 6.60650E+02
   61   80 3.34320E+02
   61   81 1.93281E+04
   61   82 6.33568E+04
   61   83 6.93147E+09
   61   84 6.93147E+09
   61   85 4.46467E+03
   61   87 6.93147E+09
   61   89 6.93147E+09
   62   61 1.84889E-02
   62   62 5.69583E-02
   62   63 5.95867E-02
   62   64 1.13466E-01
   62   65 1.12565E-01
   62   66 2.52031E-01
   62   67 2.02706E-01
   62   68 6.46655E-01
   62   69 7.47646E-01
   62   70 1.75191E+00
   62   71 1.55434E+00
   62   72 6.26608E+00
   62   73 4.11195E+00
   62   74 2.83061E+01
   62   75 5.05893E+01
   62   76 1.64698E+02
   62   77 5.44241E+01
   62   78 7.82331E+02
   62   79 4.11658E+02
   62   80 1.82998E+03
   62   81 1.11228E+02
   62   83 1.02714E+07
   63   62 1.16211E-02
   63   63 1.39665E-02
   63   64 2.65200E-02
   63   65 3.41451E-02
   63   66 5.45112E-02
   63   67 4.90799E-02
   63   68 1.47413E-01
   63   69 2.84759E-01
   63   70 8.00792E-01
   63   71 8.20802E-01
   63   72 2.22351E+00
   63   73 1.70800E+00
   63   74 4.97410E+00
   63   75 1.21955E+01
   63   76 1.31720E+01
   63   77 1.51766E+01
   63   78 2.99951E+01
   63   79 2.19061E+02
   63   80 6.40773E+01
   63   81 4.83563E+01
   63   82 4.13785E+03
   63   83 6.27359E+05
   63   84 6.93147E+09
   63   85 2.10054E+04
   63   86 6.69012E+08
   63   87 7.61216E+08
   63   89 6.93147E+09
   63   91 8.13512E+07
   64   64 3.19425E-02
   64   65 3.24617E-02
   64   66 7.00879E-02
   64   67 5.19431E-02
   64   68 1.72347E-01
   64   69 1.81281E-01
   64   70 4.36569E-01
   64   71 6.89088E-01
   64   72 1.21911E+00
   64   73 1.97175E+00
   64   74 4.23975E+00
   64   75 5.89431E+00
   64   76 1.73448E+01
